中国中共中央党校	销售部经理
河南工学院	业务组组长
广东省深圳大学成人教育学院  	商务助理、销售助理、办公文员
郑州轻工职业学院	跟单主管,生产经理,计划经理 PMC
江西赣西学院	采购
朝阳商业学校	施工及房地产会计
浙江广播电视大学	总经理助理兼整车销售部销售经理,信息主管,Software Engineer,高级人事专员,施工员,汽车业售后服务,监理员,兼职会计,招聘主管,售前/售后技术支持
江西省南城縣南城三中	業務助理
Shanghai JiaoTong University Branch	总监
赤壁市车埠镇高级中学	客服主管
浙江省卫生学校	
麦考瑞大学管理学院 (悉尼)	成本分析,成本经理,财务经理,行政人事经理,运营总监
太原工学院	副总经理,工程副总,电气工程师,C/C++软件开发工程师
深圳市协和电子职业技能鉴定所	客服、文员
北京市电子工业技工学校	机械设计,软件测试工程师,技术员,网络管理员,助理工程师,必胜客储备经理,钢结构工程师,自动化设计,机械设计或机械绘图员,PCB制图
深圳第二职业技术学校	施工员
沈阳市装备制造工程学校	设计师
视觉中国	业务主管,市场策划,营销顾问,设计师,会计助理,英语翻译,私企融资总监,国企资金科科长,3d动画师,管理部经理
北京火星人	室内设计效果图
汕头市金山中学（高中部）	外贸专员,淘宝客服,销售文员
国家法官学院	项目助理,项目协调,销售专员,行政管理,编辑,客户服务中心总监,人事行政部经理,法务与股权管理部/总裁办,法务,销售主管
韩国汉城大学	营运管理中心总经理,电话销售
青海重型技工学校	钳工
赣榆县青口一中	
湘西民族中等师范学校	外语培训中心主任
苏州科技大学（原苏州铁道师范学院）	企划文案
北京蒲黄榆二中	财务经理,审计经理
新沂市第四中学	实习
孝昌县第一高级学校	平面设计,美工,淘宝美工
大连大学美术学院	平面设计主管
 中央广播电视大学	项目总监助理兼办公室管理
南昌航院	
中山理工	工程师
中国人民解放军第四军医大学吉林军医学院	行政经理,安全科长
湖南省吉首大学	律师助理,人事经理,未知,办事员
清华经管学院	总经理，副总经理，行政总监
广西梧州市技工学校	erp
石家庄军械工程学院	人事经理,销售总监,综合管理部门主任,销售主管,行政,管理
扬州化工学院	总经理。副总经理，总监
