word、PPT	生物信息工程师
Simulink	电气工程师,研发工程师
ERP2代操作系统	合同管理员
Microsoft Visual C++编程语言	软件工程师,技术支持工程师,c++开发工程师,机械电子,电气技术员/助理电气工程师,无,iOS软件工程师, 会计/审计；金融/投资/证券,软件测试，网站设计，手机应用开发,C++程序员
Microsoft PowerPoint	研究员,金融、精算、销售、管理、咨询,数据分析处理,erp实施顾问,管理培训生,人力资源管理,行政人事专员／销售,财务会计,财务经理,审计助理
Office / excel	机械设计  工艺
音频工程	国际工程销售
altium designer	硬件工程师
3Dmax、CAD	工业设计师
Keil uVision4	嵌入式开发工程师
USRP	专利管理
WPS Office	办公室文员
统计过程控制	Production manager
Visual C++ 6.0	硬件研发工程师
office软件熟练	法务助理
SSH框架	java,软件开发工程师,JAVA软件开发工程师,软件测试工程师,java软件工程师,java开发工程师,Java开发工程师
ZooKeeper	Linux软件开发工程师
final cut	剪辑
精通c	软件开发工程师
自动化测试	Software QA,软件测试工程师
matlab	工程师,软件开发工程师,软件研发工程师,数据分析,图像算法工程师,通信技术工程师,量化投资程序员,射频工程师
公路运输	行政经理
struts2、hibernate、	java开发工程师
Apache	网站运营,程序员
熟练应用Office办公软件	平面设计师 美编
SPC	生产主管
分散控制系统 (DCS)	生产经理
Primavera P6	历任技术员、技术负责人、技术科长
GU	项目工程师
Verilog HDL语言	FPGA设计开发工程师
Sun Microsystems认证	售前/售后工程师
PADS	助理电子工程师,硬件开发工程师,集成电路设计/验证工程师
HTML+CSS	软件工程师
js语法与jQuery框架	java软件开发工程师
教务	教学及相关管理工作
采购分析	采购科科长
电话销售	客户经理,销售代表,公关、活动执行策划等,销售 市场 客户经理 网站运营,数据库管理、质量管理、人事管理、物流管理、销售、市场,培训助理 培训师 培训专员,业务主管,行政 人事,实习生,销售
auto cad	网络工程师,弱电工程师
Origin	测试/分析工程师,研发工程师,全职
Objective-c	ios游戏开发工程师
生产件批准程序（PPAP）	制造管理类（品质、研发、制造生产）岗,质保类
金融风险管理	销售经理
面试技巧	经理助理,销售助理
办公自动化	外贸助理
WINCC	技术员
证券交易	内勤
COBOL	高级开发人员,计算机软、硬件/互联网/IT
FPGA设计	FPGA工程师/硬件研发工程师,硬件工程师,计算机维护,嵌入式工程师,FPGA设计验证工程师
计算机中级证	车间主任
POWERPOINT	园林绿化设计
劳动合同管理	人事助理
绘声绘影视频制作软件	银行柜员
搜索引擎营销 (SEM)	市场营销/电子商务经理,区域支持经理,SEM主管、网站运营主管,网络推广,市场部经理
Pro/Engineer	技术员
国家计算机等级三级	供应链管理
Java语言	android应用工程师,软件开发,软件测试工程师,嵌入式软件开发
数据库编程语言	电气工程师
研究技能	技术工程师
嵌入式系统	卫星导航/嵌入式软件工程师
