高级产品专员	RMB3500,协助,包装,供应商,类别,级别,职责,计调,上线,职位
售后服务项目经理	公司,认可,处理,检测,作业,科研项目,金属材料,涉及,销售业务,相关
市场总监，市场部经理，副总经理	公司,br,工作,团队,带领,管理,项目,方向,山西,负责
e-HR 产品经理	工作,HR,职位,br,薪水,全职,模块,月薪,项目,中级
制造、供应链总监、总经理类	计划,PMC,br,管理,生产,IE,物料,库存,工作,提升
人事助理、经理助理	安排,负责,钻石,院校,组织,等级,啤石及,筛选,进行,重要
收银值班经理	职位,br,收银,工作,职责,类别,级别,薪水,全职,月薪
中医士，康复技师,中级按摩师	以上,医疗卫生,中级,经验,美容,薪水,职业,职位,RMB7000,月薪
技术支持工程师,移动通信工程师，数据工程师，项目管理	职位,负责,电信,工程师,PTCL,管理工作,移动,TATA,RMB4000,接入网
计算机软件-图像-机器学习	分析,shed,组织,细胞,癌症,工作,量化,方法,图片,染色
电气技术人员	产品设计,电子,电气工程师,逆变电源,元器件,类别,两年,级别,调试,工作
总经理和副总经理及助理	处理,水洗,经营,外发,时装品牌,纺纱,重庆,验厂,品质,行政事务
 给排水工程师	控制,职业,类别,级别,职责,职位,工作,初级,质量,图纸
研发结构经理	职位,月薪,工作,结构设计,全职,职责,薪水,br,类别,设计师
核算会计	工作,br,职位,全职,负责,会计,薪水,月薪,类别,审核
销售及销售主管	br,山西,推广,学校,调回,咨询,总部,进行,02,移民
外贸专员 国际销售代表 英语	相关,进出口,负责,客户,业务,产品,联系,参观,代理,接洽
宣传员	职业,工作,类别,性质,职位,全职,兼职,其他,机械,学生
机械设计工程师，机械技术工程师	培训,售后,EVP,安装,GM,调试,现场,操作技能,成功,月薪
行政副总经理,行政总监	管理,集团,工作,br,行政,负责,总裁,下属,公司,分公司
执行副总裁兼项目总经理	全职,职责,br,集团,项目,工程,制定,房地产,总经理,50
总监，各部经理	未签,营销策划,tVIP,招商,机制,回访,及时,决策权,工作,计划
品保助理	类别,级别,职责,职位,月薪,工作,薪水,全职,职业,文员
IT技术支持	网络,公司,服务器,工作,维护,日常,备份,系统,提供,销售
accounting supervisor	性质,职位,全职,1000,职责,薪水,类别,工作,外企,外商独资
销售发行助理	br,工作,客户,回款,负责,公司,拟定,合作,所有,沟通交流
大堂经理（见习）	客户,招商,银行,营销,负责,表现出色,证券,北京地区,比较,主要
人事行政主管/EHS主管	工作,部门,br,培训,课长,产线,组织,流程,作业,代工
人事主管、专员、律师助理、法务	br,工作,协调,经销商,处理,沟通,管理工作,出勤,面谈,合同
总经理副总经理VP总监general manager	管理,以及,协调,br,完善,工作,负责,控制,销售,资金
PQC	职位,类别,两年,级别,性质,经验,月薪,工作,初级,职责
PQE	职位,工作,生产,团队,良率,br,QC,指导,RMB3500,及进
编辑 网络编辑  文案策划  企划	职位,工作,性质,编辑,原作者,包商,职业,排版,499,记者
销售，业务，市场开发	类别,两年,级别,职责,职位,月薪,工作,负责,薪水,全职
客房、安保、人事经理	RMB2300,管理,薪水,级别,职位,职业,高级,月薪,工作,全职
代理卖区长	营业员,店堂,RMB4000,测电,类别,跟进,管理,职位,工作,月薪
电商专员、助理	物料,控制,沟通,销售,根据,仓库,协调,疑难杂症,按时,解决
营业、助理	协助,交代,任务,类别,级别,转变,性质,专员,经理,职位
开发\项目工程师	br,产品,分析,海报,蓝图,跟进,改良,外观,乐荣,设计
工程主管	工作,职位,br,全职,月薪,工程,类别,薪水,职责,性质
核电相关技术，管理工作。管道，阀门设计和安装管理	控制,组织,方面,工艺,安装,进行,工程师,作为,技术,安全
教师  专业部团支部书记	优秀,优秀教师,类别,两年,级别,性质,团支部,经验,quot,职位
新房置业顾问	21,二手房,买卖,房建,不动产,优秀,顾问,归档,任劳任怨,团队
日文翻译	工作,职责,全职,性质,负责,整理,以及,资料,翻译,日语
半导体工艺、技术或产品开发工程师	years,processing,process,time,t1,results,stability,工艺,wafers,writing
技术员  测量主管	施工,主要,从事,质量
生产销售助理	JobCategory,日常,JobSalary,Type,职位,月薪,Employment,monthly,Assistant,工作
市场策划，门店店长，销售主管	售后,坚持,遵守,类别,两年,机械,经验,原则,级别,职位
Cost accountant	职位,财务经理,工作,全职,月薪,采购,财务,报表,薪水,审批
售前/售后工程师,采购，销售	制造商,轮胎,万力,国内,5000,国企,生产,知名品牌
影视编辑	栏目,搜狐,职业,类别,级别,视野,频道,董董锵,职位,撰稿
运行工程师	职位,月薪,工作,薪水,全职,类别,性质,经验,管理,技术类
山西办事处主任	性质,职位,负责,br,全职,工作,20,职责,策划,营销部
昌硕科技（上海）有限公司	计划,生产,跟进,工作,br,负责,厂内,项目管理,SMT,异常
压力容器设计	压力容器,工作,设计,编制,制造,容器,工艺,相关,负责,职责
新浪校园微博管理运营	类别,月薪,工作,职责,薪水,职业,职位,组织,监察,级别
总\副经理	管理,运营,公司,整体,运作,大型项目,融资,负责,开发,负责人
研发部研发工程师	网络,性质,工作,全职,网管,MSAP,NGPON,监控,类别,两年
英语教学组长	当值,薪水,一直,类别,两年,级别,性质,经验,职位,月薪
物流与计划部生产计划员	生产,br,跟进,沟通,管控,根据,组装,生产线,保证,发货
建筑给排水	经验,具有,工作,民用建筑,市政,给排水
信息总监	br,职位,工作,信息化,实施,负责,管理,全职,规划,集团
